activity,country,legal_status,notes,topic
carry a baton,Albania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Albania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Albania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Albania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Albania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Albania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Albania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Albania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Albania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Albania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
