activity,country,legal_status,notes,topic
carry a baton,Algeria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Algeria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Algeria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Algeria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Algeria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Algeria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Algeria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Algeria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Algeria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Algeria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
