activity,country,legal_status,notes,topic
carry a baton,Armenia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Armenia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Armenia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Armenia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Armenia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Armenia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Armenia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Armenia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Armenia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Armenia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
