activity,country,legal_status,notes,topic
carry a baton,Austria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Austria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Austria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Austria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Austria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Austria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Austria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Austria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Austria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Austria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
