activity,country,legal_status,notes,topic
carry a baton,Bahrain,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Bahrain,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Bahrain,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Bahrain,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Bahrain,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Bahrain,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Bahrain,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Bahrain,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Bahrain,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Bahrain,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
