activity,country,legal_status,notes,topic
carry a baton,Bangladesh,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Bangladesh,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Bangladesh,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Bangladesh,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Bangladesh,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Bangladesh,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Bangladesh,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Bangladesh,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Bangladesh,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Bangladesh,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
