activity,country,legal_status,notes,topic
carry a baton,Belgium,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Belgium,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Belgium,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Belgium,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Belgium,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Belgium,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Belgium,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Belgium,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Belgium,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Belgium,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
