activity,country,legal_status,notes,topic
carry a baton,Bolivia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Bolivia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Bolivia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Bolivia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Bolivia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Bolivia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Bolivia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Bolivia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Bolivia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Bolivia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
