activity,country,legal_status,notes,topic
carry a baton,Bosnia and Herzegovina,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Bosnia and Herzegovina,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Bosnia and Herzegovina,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Bosnia and Herzegovina,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Bosnia and Herzegovina,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Bosnia and Herzegovina,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
