activity,country,legal_status,notes,topic
carry a baton,Brazil,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Brazil,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Brazil,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Brazil,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Brazil,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Brazil,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Brazil,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Brazil,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Brazil,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Brazil,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
