activity,country,legal_status,notes,topic
carry a baton,Bulgaria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Bulgaria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Bulgaria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Bulgaria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Bulgaria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Bulgaria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Bulgaria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Bulgaria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Bulgaria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Bulgaria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
