activity,country,legal_status,notes,topic
carry a baton,Chile,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Chile,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Chile,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Chile,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Chile,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Chile,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Chile,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Chile,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Chile,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Chile,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
