activity,country,legal_status,notes,topic
carry a baton,China,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,China,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,China,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,China,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,China,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,China,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,China,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,China,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,China,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,China,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
