activity,country,legal_status,notes,topic
carry a baton,Croatia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Croatia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Croatia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Croatia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Croatia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Croatia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Croatia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Croatia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Croatia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Croatia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
