activity,country,legal_status,notes,topic
carry a baton,Cuba,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Cuba,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Cuba,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Cuba,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Cuba,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Cuba,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
