activity,country,legal_status,notes,topic
carry a baton,Czech Republic,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Czech Republic,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Czech Republic,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Czech Republic,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Czech Republic,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Czech Republic,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Czech Republic,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Czech Republic,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Czech Republic,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Czech Republic,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
