activity,country,legal_status,notes,topic
carry a baton,Egypt,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Egypt,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Egypt,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Egypt,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Egypt,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Egypt,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Egypt,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Egypt,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Egypt,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Egypt,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
