activity,country,legal_status,notes,topic
carry a baton,Finland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Finland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Finland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Finland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Finland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Finland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Finland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Finland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Finland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Finland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
