activity,country,legal_status,notes,topic
carry a baton,Georgia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Georgia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Georgia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Georgia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Georgia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Georgia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Georgia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Georgia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Georgia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Georgia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
