activity,country,legal_status,notes,topic
carry a baton,Ghana,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Ghana,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Ghana,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Ghana,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Ghana,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Ghana,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Ghana,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Ghana,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Ghana,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Ghana,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
