activity,country,legal_status,notes,topic
carry a baton,Greece,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Greece,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Greece,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Greece,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Greece,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Greece,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Greece,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Greece,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Greece,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Greece,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
