activity,country,legal_status,notes,topic
carry a baton,Guyana,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Guyana,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Guyana,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Guyana,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Guyana,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Guyana,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Guyana,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Guyana,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Guyana,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Guyana,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
