activity,country,legal_status,notes,topic
carry a baton,Hungary,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Hungary,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Hungary,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Hungary,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Hungary,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Hungary,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Hungary,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Hungary,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Hungary,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Hungary,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
