activity,country,legal_status,notes,topic
carry a baton,Iceland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Iceland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Iceland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Iceland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Iceland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Iceland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Iceland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Iceland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Iceland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Iceland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
