activity,country,legal_status,notes,topic
carry a baton,Israel,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Israel,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Israel,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Israel,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Israel,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Israel,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Israel,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Israel,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Israel,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Israel,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
