activity,country,legal_status,notes,topic
carry a baton,Jordan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Jordan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Jordan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Jordan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Jordan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Jordan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Jordan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Jordan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Jordan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Jordan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
