activity,country,legal_status,notes,topic
carry a baton,Kenya,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Kenya,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Kenya,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Kenya,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Kenya,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Kenya,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
