activity,country,legal_status,notes,topic
carry a baton,Kuwait,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Kuwait,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Kuwait,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Kuwait,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Kuwait,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Kuwait,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Kuwait,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Kuwait,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Kuwait,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Kuwait,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
