activity,country,legal_status,notes,topic
carry a baton,Laos,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Laos,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Laos,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Laos,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Laos,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Laos,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Laos,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Laos,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Laos,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Laos,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
