activity,country,legal_status,notes,topic
carry a baton,Latvia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Latvia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Latvia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Latvia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Latvia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Latvia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Latvia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Latvia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Latvia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Latvia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
