activity,country,legal_status,notes,topic
carry a baton,Luxembourg,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Luxembourg,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Luxembourg,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Luxembourg,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Luxembourg,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Luxembourg,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Luxembourg,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Luxembourg,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Luxembourg,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Luxembourg,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
