activity,country,legal_status,notes,topic
carry a baton,Malta,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Malta,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Malta,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Malta,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Malta,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Malta,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Malta,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Malta,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Malta,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Malta,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
