activity,country,legal_status,notes,topic
carry a baton,Moldova,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Moldova,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Moldova,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Moldova,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Moldova,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Moldova,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Moldova,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Moldova,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Moldova,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Moldova,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
