activity,country,legal_status,notes,topic
carry a baton,Montenegro,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Montenegro,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Montenegro,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Montenegro,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Montenegro,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Montenegro,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Montenegro,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Montenegro,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Montenegro,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Montenegro,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
