activity,country,legal_status,notes,topic
carry a baton,Morocco,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Morocco,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Morocco,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Morocco,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Morocco,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Morocco,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Morocco,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Morocco,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Morocco,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Morocco,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
