activity,country,legal_status,notes,topic
carry a baton,Netherlands,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Netherlands,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Netherlands,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Netherlands,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Netherlands,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Netherlands,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Netherlands,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Netherlands,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Netherlands,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Netherlands,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
