activity,country,legal_status,notes,topic
carry a baton,Nigeria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Nigeria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Nigeria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Nigeria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Nigeria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Nigeria,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Nigeria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Nigeria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Nigeria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Nigeria,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
