activity,country,legal_status,notes,topic
carry a baton,North Macedonia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,North Macedonia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,North Macedonia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,North Macedonia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,North Macedonia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,North Macedonia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,North Macedonia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,North Macedonia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,North Macedonia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,North Macedonia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
