activity,country,legal_status,notes,topic
carry a baton,Norway,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Norway,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Norway,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Norway,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Norway,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Norway,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Norway,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Norway,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Norway,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Norway,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
