activity,country,legal_status,notes,topic
carry a baton,Oman,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Oman,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Oman,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Oman,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Oman,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Oman,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Oman,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Oman,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Oman,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Oman,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
