activity,country,legal_status,notes,topic
carry a baton,Pakistan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Pakistan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Pakistan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Pakistan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Pakistan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Pakistan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Pakistan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Pakistan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Pakistan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Pakistan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
