activity,country,legal_status,notes,topic
carry a baton,Philippines,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Philippines,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Philippines,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Philippines,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Philippines,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Philippines,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Philippines,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Philippines,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Philippines,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Philippines,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
