activity,country,legal_status,notes,topic
carry a baton,Poland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Poland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Poland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Poland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Poland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Poland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Poland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Poland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Poland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Poland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
