activity,country,legal_status,notes,topic
carry a baton,Qatar,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Qatar,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Qatar,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Qatar,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Qatar,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Qatar,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Qatar,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Qatar,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Qatar,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Qatar,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
