activity,country,legal_status,notes,topic
carry a baton,Romania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Romania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Romania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Romania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Romania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Romania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Romania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Romania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Romania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Romania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
