activity,country,legal_status,notes,topic
carry a baton,Saudi Arabia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Saudi Arabia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Saudi Arabia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Saudi Arabia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Saudi Arabia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Saudi Arabia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
