activity,country,legal_status,notes,topic
carry a baton,Serbia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Serbia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Serbia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Serbia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Serbia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Serbia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Serbia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Serbia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Serbia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Serbia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
