activity,country,legal_status,notes,topic
carry a baton,Singapore,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Singapore,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Singapore,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Singapore,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Singapore,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Singapore,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Singapore,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Singapore,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Singapore,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Singapore,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
