activity,country,legal_status,notes,topic
carry a baton,Slovakia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Slovakia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Slovakia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Slovakia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Slovakia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Slovakia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Slovakia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Slovakia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Slovakia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Slovakia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
