activity,country,legal_status,notes,topic
carry a baton,Slovenia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Slovenia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Slovenia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Slovenia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Slovenia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Slovenia,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Slovenia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Slovenia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Slovenia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Slovenia,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
