activity,country,legal_status,notes,topic
carry a baton,South Africa,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,South Africa,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,South Africa,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,South Africa,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,South Africa,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,South Africa,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,South Africa,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,South Africa,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,South Africa,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,South Africa,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
