activity,country,legal_status,notes,topic
carry a baton,Spain,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Spain,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Spain,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Spain,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Spain,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Spain,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Spain,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Spain,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Spain,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Spain,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
