activity,country,legal_status,notes,topic
carry a baton,Switzerland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Switzerland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Switzerland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Switzerland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Switzerland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Switzerland,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Switzerland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Switzerland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Switzerland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Switzerland,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
