activity,country,legal_status,notes,topic
carry a baton,Tanzania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Tanzania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Tanzania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Tanzania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Tanzania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Tanzania,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Tanzania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Tanzania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Tanzania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Tanzania,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
