activity,country,legal_status,notes,topic
carry a baton,Thailand,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Thailand,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Thailand,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Thailand,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Thailand,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Thailand,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Thailand,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Thailand,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Thailand,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Thailand,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
