activity,country,legal_status,notes,topic
carry a baton,Turkey,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Turkey,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Turkey,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Turkey,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Turkey,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Turkey,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Turkey,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Turkey,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Turkey,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Turkey,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
