activity,country,legal_status,notes,topic
carry a baton,Uganda,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Uganda,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Uganda,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Uganda,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Uganda,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Uganda,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Uganda,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Uganda,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Uganda,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Uganda,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
