activity,country,legal_status,notes,topic
carry a baton,Uruguay,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Uruguay,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Uruguay,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Uruguay,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Uruguay,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Uruguay,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Uruguay,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Uruguay,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Uruguay,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Uruguay,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
