activity,country,legal_status,notes,topic
carry a baton,Uzbekistan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Uzbekistan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Uzbekistan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Uzbekistan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Uzbekistan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Uzbekistan,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Uzbekistan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Uzbekistan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Uzbekistan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Uzbekistan,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
