activity,country,legal_status,notes,topic
carry a baton,Zimbabwe,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a kubotan,Zimbabwe,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a self-defence keychain,Zimbabwe,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a sword in public,Zimbabwe,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry a taser,Zimbabwe,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
carry pepper spray,Zimbabwe,restricted,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
own a switchblade,Zimbabwe,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a butterfly knife,Zimbabwe,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess a stun gun,Zimbabwe,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
possess brass knuckles,Zimbabwe,illegal,Estimated legal status based on general regulations. Verify locally.,self-defence-weapons
