activity,country,legal_status,notes,topic
filming police officers,Albania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Albania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Albania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Albania,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Albania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Albania,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Albania,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Albania,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Albania,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Albania,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
