activity,country,legal_status,notes,topic
filming police officers,Austria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Austria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Austria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Austria,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Austria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Austria,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Austria,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Austria,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Austria,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Austria,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
