activity,country,legal_status,notes,topic
filming police officers,Azerbaijan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Azerbaijan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Azerbaijan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Azerbaijan,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Azerbaijan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Azerbaijan,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Azerbaijan,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Azerbaijan,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Azerbaijan,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Azerbaijan,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
