activity,country,legal_status,notes,topic
filming police officers,Bahrain,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
installing home cctv,Bahrain,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
monitoring staff,Bahrain,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording conversations,Bahrain,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording people in public,Bahrain,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
recording phone calls,Bahrain,illegal,Estimated legal status based on general regulations. Verify locally.,surveillance
tracking a person or vehicle,Bahrain,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using camera drones,Bahrain,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
using cctv in business,Bahrain,legal,Estimated legal status based on general regulations. Verify locally.,surveillance
using hidden cameras,Bahrain,restricted,Estimated legal status based on general regulations. Verify locally.,surveillance
